geometry,Feature:string,Label:string,Diff Erosion:boolean,Septum:boolean,Too eroded:boolean,Superposition:boolean,Diff Depth:boolean,Second Look:boolean,Radial Ejecta Lobes:boolean
"LINESTRING (185.40201 -2.35158, 184.11501 -3.11477)",polyline,3-475,false,,,,,,
"LINESTRING (159.3699 16.94447, 160.39377 17.78042)",polyline,21-729,,,,,,,
"LINESTRING (302.43448 34.26874, 302.0191 33.48955)",polyline,24-544,,,,,,,
"LINESTRING (199.10519 8.49114, 198.34001 7.75342)",polyline,36-1031,,,,,,,
"LINESTRING (5.303710000000024 -24.79165, 6.195730000000026 -23.74127)",polyline,40-157,,,,,,,
"LINESTRING (209.8429 -9.81225, 209.97687 -10.49608)",polyline,42-1013,,,,,,,
"LINESTRING (124.33742000000001 37.18995, 124.17984999999999 37.60541)",polyline,46-970,,,,,,,
"LINESTRING (337.65756 -20.15163, 336.72943 -19.62826)",polyline,49-612,false,,,,,,
"LINESTRING (331.95477 -4.42169, 331.22214 -5.78357)",polyline,56-66,,,,,,,
"LINESTRING (209.43025 9.07425, 208.71182 10.09409)",polyline,70-722,,,,,,,
"LINESTRING (171.35239 10.57124, 170.46536 9.64547)",polyline,83-290,,true,,,,,
"LINESTRING (170.85464 -26.02763, 171.03598 -24.84281)",polyline,85-108,,,true,,,,
"LINESTRING (27.20490000000001 -30.45777, 27.336029999999994 -31.9468)",polyline,87-168,,,true,,,,
"LINESTRING (61.277420000000006 14.29697, 61.98773 13.14807)",polyline,101-212,,,true,,,,
"LINESTRING (351.05316 30.52917, 351.23315 30.21359)",polyline,103-1187,,,,true,,,
"LINESTRING (313.98816 -44.02668, 313.86194 -44.7414)",polyline,104-311,,,,true,,,
"LINESTRING (345.89142 36.69881, 344.36957 36.07227)",polyline,109-192,,true,,,,,
"LINESTRING (169.25002 31.83689, 168.22182 30.90465)",polyline,114-801,,,true,,,,
"LINESTRING (9.779080000000022 18.61825, 10.528999999999996 17.70248)",polyline,139-940,,,true,,,,
"LINESTRING (92.27882999999997 52.68605, 90.78466000000003 52.46371)",polyline,143-832,,,,true,,,
"LINESTRING (134.15297 -13.41659, 135.14001 -12.76851)",polyline,162-1327,,,true,,,,
"LINESTRING (75.45636999999999 46.27509, 76.46776999999997 45.29877)",polyline,166-985,true,,,,,,
"LINESTRING (161.72311 -13.11658, 160.57556 -13.31738)",polyline,167-1315,true,,,,true,,
"LINESTRING (260.77151 17.47554, 261.05667 16.32229)",polyline,170-930,true,,,,,,
"LINESTRING (260.77151 17.47554, 260.54504 18.42104)",polyline,170-938,,,true,,,,
"LINESTRING (29.01931000000002 24.60052, 29.880040000000008 24.82397)",polyline,171-550,,,true,,,,
"LINESTRING (305.82602 45.66689, 307.05698 45.76949)",polyline,178-297,,,true,,,,
"LINESTRING (248.53383 -4.76845, 248.98013 -4.02628)",polyline,183-525,,,true,,,,
"LINESTRING (304.89798 -28.11333, 305.57672 -26.9649)",polyline,184-190,,,true,,,,
"LINESTRING (22.473689999999976 -0.39134, 21.39163000000002 -0.30141)",polyline,191-1281,true,,,,,,
"LINESTRING (31.728970000000004 30.0986, 32.03005999999999 29.42511)",polyline,195-1254,,,,true,,,
"LINESTRING (87.74522999999999 46.81626, 88.30105000000003 48.07114)",polyline,197-228,,,true,,,,
"LINESTRING (265.17905 19.92318, 264.99213 19.38104)",polyline,199-1421,,,true,,,,
"LINESTRING (300.93027 14.94632, 300.07156 15.60994)",polyline,215-1334,,,true,,,,
"LINESTRING (204.23573 12.9253, 204.73268 13.59187)",polyline,258-764,,,true,,,,
"LINESTRING (191.97585 3.67035, 191.97495 2.6293)",polyline,275-469,,,,true,,,
"LINESTRING (215.72594 18.89954, 215.37964 18.1481)",polyline,294-1188,true,,,,,,
"LINESTRING (22.030770000000018 25.11964, 21.842809999999986 26.24121)",polyline,313-921,,,true,,,,
"LINESTRING (22.030770000000018 25.11964, 22.653149999999982 25.80467)",polyline,313-1675,,,true,,,,
"LINESTRING (136.44443 49.21796, 135.25711 48.72874)",polyline,330-1488,,,true,,,,
"LINESTRING (30.056840000000022 10.29189, 29.506250000000023 10.80317)",polyline,335-2038,true,,true,,,,
"LINESTRING (335.97021 42.42942, 336.16113 42.98044)",polyline,340-749,,,true,,,,
"LINESTRING (113.23773 36.23313, 112.85449 35.73771)",polyline,343-1088,,,true,,,,
"LINESTRING (347.18967 45.13869, 346.41306 44.49211)",polyline,361-1981,,,true,,,,
"LINESTRING (345.108 -16.67145, 345.92172 -17.22288)",polyline,362-675,,,true,,,,
"LINESTRING (166.83469 49.68791, 166.30621 49.86761)",polyline,364-1182,true,,,,,,
"LINESTRING (258.33469 26.87969, 258.19623 27.7724)",polyline,366-1575,,,true,,,,
"LINESTRING (317.96869 8.28793, 317.6174 9.19989)",polyline,372-1726,true,,,,,,
"LINESTRING (165.80901 23.21224, 166.34265 22.49147)",polyline,375-458,true,,,,,,
"LINESTRING (86.40980000000002 58.98599, 85.93475000000001 59.75828)",polyline,376-750,,,,true,,,
"LINESTRING (86.40980000000002 58.98599, 86.08659999999998 58.15554)",polyline,376-1825,,,,true,,true,
"LINESTRING (108.57555000000002 30.38394, 108.19864999999999 29.56702)",polyline,378-1361,,,true,,,,
"LINESTRING (71.40102000000002 9.78818, 71.68862000000001 9.15751)",polyline,380-1607,,,true,,,,
"LINESTRING (356.63101 21.49644, 356.13763 20.60273)",polyline,385-738,true,,,true,,,
"LINESTRING (90.91802000000001 20.3033, 91.62022999999999 19.80084)",polyline,390-1196,,,true,,,,
"LINESTRING (272.41626 24.94376, 272.53989 26.03082)",polyline,392-615,,,true,,,,
"LINESTRING (69.09550999999999 7.25345, 70.17590999999999 7.04363)",polyline,394-625,,,true,,,,
"LINESTRING (7.075620000000015 18.06754, 8.248569999999972 17.99247)",polyline,396-454,,,true,,,,
"LINESTRING (39.98946000000001 14.84354, 41.20119999999997 14.61334)",polyline,418-491,,true,,,true,true,
"LINESTRING (348.02545 58.74301, 348.58084 59.11579)",polyline,425-1472,,,,true,,,
"LINESTRING (348.02545 58.74301, 347.84619 59.502)",polyline,425-1550,,,true,,,,
"LINESTRING (176.57469 -23.66752, 175.96271 -23.01172)",polyline,431-1149,,,true,,,,
"LINESTRING (214.37686 20.7444, 215.24831 20.14707)",polyline,432-917,,,true,,,,
"LINESTRING (214.37686 20.7444, 213.59766 20.32699)",polyline,432-1651,,,true,,,,
"LINESTRING (55.836029999999994 38.0506, 54.92135999999999 37.5626)",polyline,436-2171,,,true,,,,
"LINESTRING (251.33006 1.11168, 251.25958 1.76867)",polyline,444-2208,true,,,,,,
"LINESTRING (278.73148 41.31999, 277.55801 41.27572)",polyline,448-1458,,,true,,,,
"LINESTRING (43.53120000000001 -9.39889, 43.035649999999976 -8.75809)",polyline,453-967,,true,,,,,
"LINESTRING (340.18271 34.27596, 339.12149 34.45664)",polyline,456-2457,,,true,,,,
"LINESTRING (298.80704 56.76471, 299.81287 57.00188)",polyline,457-2129,true,,,,,,
"LINESTRING (143.28143 -40.12921, 144.4655 -40.24235)",polyline,462-2284,,,true,,,,
"LINESTRING (312.80551 17.72994, 311.92322 17.7172)",polyline,463-1298,,,true,,,,
"LINESTRING (184.11501 -3.11477, 183.79893 -2.37755)",polyline,475-974,,,true,,,,
"LINESTRING (330.4635 40.84032, 329.51578 40.52036)",polyline,479-1127,,,true,,,,
"LINESTRING (75.38572999999997 22.23388, 76.3263 22.02215)",polyline,493-1818,,,true,,,,
"LINESTRING (46.719719999999995 3.60249, 46.452999999999975 4.33674)",polyline,495-1863,,,true,,,,
"LINESTRING (287.64978 59.13425, 289.12024 59.26658)",polyline,502-2139,true,,,,,,
"LINESTRING (326.05566 6.87885, 326.59445 7.53314)",polyline,504-708,true,,,,,,
"LINESTRING (143.57242 -37.0372, 144.4579 -37.25021)",polyline,505-1370,,,true,,,,
"LINESTRING (233.8652 2.16724, 233.14644 1.97912)",polyline,508-704,true,,,true,,,
"LINESTRING (6.611940000000004 14.14669, 7.511480000000006 14.72892)",polyline,536-768,,,true,,,,
"LINESTRING (291.03561 32.17436, 290.38934 31.31045)",polyline,543-644,,,true,,,,
"LINESTRING (46.13529 18.39243, 47.07812999999999 18.1844)",polyline,545-685,,,true,,,,
"LINESTRING (242.06477 47.44065, 242.17223 46.52313)",polyline,554-1016,,,true,,,,
"LINESTRING (261.80243 36.57048, 260.85788 36.20336)",polyline,555-2561,true,,true,,,,
"LINESTRING (32.547860000000014 4.97165, 32.88621999999998 5.95805)",polyline,567-798,false,false,false,false,false,false,false
"LINESTRING (32.547860000000014 4.97165, 32.578809999999976 5.47146)",polyline,567-2690,,,true,,,,
"LINESTRING (110.59484 -10.11114, 110.10453999999999 -10.8684)",polyline,585-1055,true,,true,,,,
"LINESTRING (79.90780999999998 -8.58233, 80.79485 -8.59517)",polyline,586-1874,,,true,,,,
"LINESTRING (208.12921 -14.85839, 208.41891 -15.4727)",polyline,591-899,,,true,,,,
"LINESTRING (292.09769 28.0576, 292.89633 28.32972)",polyline,605-2885,,,true,,,,
"LINESTRING (79.28773000000001 -10.48733, 79.76670999999999 -11.3575)",polyline,610-687,,,true,,,true,
"LINESTRING (231.49785 2.5292, 231.85493 2.73013)",polyline,613-2316,,,true,,,true,
"LINESTRING (349.07568 25.59482, 349.08936 24.99864)",polyline,614-2740,,,true,,,,
"LINESTRING (228.27621 3.90401, 227.59808 3.79954)",polyline,628-2849,,,true,,,,
"LINESTRING (120.77197000000001 24.38328, 121.08326 23.53564)",polyline,634-953,,,true,,,,
"LINESTRING (167.08035 -30.33696, 167.88622 -29.87523)",polyline,657-1680,,,true,,,,
"LINESTRING (299.19962 33.37789, 299.72281 33.5592)",polyline,660-2317,true,,,,,,
"LINESTRING (51.649339999999995 48.64062, 50.43808999999999 48.82492)",polyline,664-822,true,,,,true,,
"LINESTRING (10.458950000000016 47.61947, 10.35987 46.96102)",polyline,683-2146,,,true,,,,
"LINESTRING (179.43687 -11.32447, 179.44081 -12.0195)",polyline,689-854,,,true,,,,
"LINESTRING (11.766579999999976 15.87623, 11.523439999999994 16.63281)",polyline,692-2922,,,true,,,,
"LINESTRING (233.14644 1.97912, 232.63863 2.72637)",polyline,704-1086,,,,,,,
"LINESTRING (332.99384 21.05254, 332.70715 20.28247)",polyline,706-1911,,,,,,,
"LINESTRING (356.13232 31.07351, 355.67661 31.50975)",polyline,709-3448,,,,,,,
"LINESTRING (71.41552000000001 -37.39619, 71.08933999999999 -36.79521)",polyline,711-2446,,,,,,,
"LINESTRING (66.86005 21.04743, 67.37700000000001 21.72175)",polyline,714-1399,,,,,,,
"LINESTRING (180.44748 -1.64204, 180.55643 -1.88426)",polyline,717-2539,,,,,,,
"LINESTRING (172.27892 -19.37706, 172.23755 -19.82592)",polyline,720-1864,,,,,,,
"LINESTRING (12.181989999999985 -11.93523, 11.630409999999983 -11.72605)",polyline,723-3015,,,,,,,
"LINESTRING (229.23019 2.37413, 229.1572 3.11673)",polyline,737-1639,,,,,,,
"LINESTRING (192.49979 -4.90657, 192.20483 -4.547)",polyline,743-3558,,,,,,,
"LINESTRING (2.641020000000026 23.33038, 1.9231100000000083 22.94868)",polyline,758-3405,,,,,,,
"LINESTRING (10.629689999999982 14.81781, 11.08332999999999 15.36979)",polyline,761-3201,,,,,,,
"LINESTRING (350.82605 42.36901, 350.8082 43.15795)",polyline,773-2089,,,,,,,
"LINESTRING (350.82605 42.36901, 351.25735 41.67476)",polyline,773-3146,,,,,,,
"LINESTRING (17.314540000000022 16.41733, 17.290219999999977 17.15859)",polyline,776-841,,,,,,,
"LINESTRING (217.04736 10.68596, 217.06384 11.33136)",polyline,787-3101,,,,,,,
"LINESTRING (217.73546 -51.97124, 217.63873 -52.80828)",polyline,788-1612,,,,,,,
"LINESTRING (7.096569999999986 53.26994, 6.556770000000029 52.67509)",polyline,793-3293,,,,,,,
"LINESTRING (190.30597 -28.73074, 189.98561 -28.17075)",polyline,794-3819,,,,,,,
"LINESTRING (32.88621999999998 5.95805, 32.578809999999976 5.47146)",polyline,798-2690,,,,,,,
"LINESTRING (168.22182 30.90465, 167.43106 30.60866)",polyline,801-4079,,,,,,,
"LINESTRING (329.72797 42.57798, 330.61084 42.81447)",polyline,807-1379,,,,,,,
"LINESTRING (220.08923 3.05805, 219.5253 3.53029)",polyline,829-2394,,,,,,,
"LINESTRING (173.18875 11.91485, 172.41743 12.06024)",polyline,833-1921,,,,,,,
"LINESTRING (17.290219999999977 17.15859, 17.117160000000013 17.61502)",polyline,841-2292,,,,,,,
"LINESTRING (4.073869999999999 14.82036, 3.8736999999999853 14.38704)",polyline,847-1619,,,,,,,
"LINESTRING (250.03572 5.49248, 250.49535 5.07945)",polyline,849-4352,,,,,,,
"LINESTRING (280.40314 31.22747, 281.01663 31.25991)",polyline,851-2487,,,,,,,
"LINESTRING (179.98006 -58.64391, 180.79471 -58.99919)",polyline,866-2053,,,,,,,
"LINESTRING (179.98006 -58.64391, 180.06004 -59.23025)",polyline,866-4047,,,,,,,
"LINESTRING (201.81645 -1.24866, 202.46463 -0.97899)",polyline,875-3668,,,,,,,
"LINESTRING (48.27944000000002 11.19975, 48.11971 11.74798)",polyline,882-1366,,,,,,,
"LINESTRING (82.19466999999997 -5.77159, 82.59375 -5.23116)",polyline,903-2045,,,,,,,
"LINESTRING (13.914289999999994 38.55148, 12.996469999999988 38.9398)",polyline,908-1407,,,,,,,
"LINESTRING (278.98227 53.4663, 278.96939 52.73729)",polyline,910-3111,,,,,,,
"LINESTRING (21.842809999999986 26.24121, 21.508350000000007 26.90034)",polyline,921-3656,,,,,,,
"LINESTRING (255.32484 -2.60454, 255.26012 -2.00157)",polyline,925-3794,,,,,,,
"LINESTRING (213.92947 7.44677, 213.38911 7.67912)",polyline,928-1561,,,,,,,
"LINESTRING (266.0379 39.42999, 265.84561 38.78374)",polyline,943-3356,,,,,,,
"LINESTRING (212.31131 32.63872, 212.84962 32.05801)",polyline,962-1872,,,,,,,
"LINESTRING (278.20166 0.20217, 278.1593 0.84728)",polyline,968-1557,,,,,,,
"LINESTRING (60.8458 -26.14284, 60.15160000000003 -25.93331)",polyline,969-3395,,,,,,,
