geometry,Feature:string,Label:string
"LINESTRING (258.46268 -17.34104, 257.82714 -16.43396)",polyline,1-6
"LINESTRING (258.46268 -17.34104, 259.16218 -15.15431)",polyline,1-33
"LINESTRING (258.46268 -17.34104, 257.89817 -17.97184)",polyline,1-42
"LINESTRING (258.46268 -17.34104, 258.48201 -15.34771)",polyline,1-51
"LINESTRING (258.46268 -17.34104, 258.15882 -15.32823)",polyline,1-69
"LINESTRING (255.42629 -16.15224, 253.50751 -16.68515)",polyline,2-3
"LINESTRING (255.42629 -16.15224, 257.82714 -16.43396)",polyline,2-6
"LINESTRING (255.42629 -16.15224, 256.00319 -15.44326)",polyline,2-32
"LINESTRING (255.42629 -16.15224, 255.19928 -17.09729)",polyline,2-57
"LINESTRING (255.42629 -16.15224, 256.28146 -14.00831)",polyline,2-62
"LINESTRING (253.50751 -16.68515, 253.31695 -14.74164)",polyline,3-39
"LINESTRING (253.50751 -16.68515, 253.51529 -18.09921)",polyline,3-41
"LINESTRING (253.50751 -16.68515, 255.19928 -17.09729)",polyline,3-57
"LINESTRING (252.67923 -13.58316, 254.11826 -13.20151)",polyline,4-34
"LINESTRING (252.67923 -13.58316, 252.9 -11.82737)",polyline,4-36
"LINESTRING (252.67923 -13.58316, 252.9382 -13.83102)",polyline,4-37
"LINESTRING (252.67923 -13.58316, 251.07751 -11.97484)",polyline,4-38
"LINESTRING (252.67923 -13.58316, 253.31695 -14.74164)",polyline,4-39
"LINESTRING (252.67923 -13.58316, 253.95229 -12.41046)",polyline,4-61
"LINESTRING (252.67923 -13.58316, 252.01441 -12.46274)",polyline,4-63
"LINESTRING (252.67923 -13.58316, 254.92521 -13.0501)",polyline,4-66
"LINESTRING (252.67923 -13.58316, 252.96521 -12.41276)",polyline,4-73
"LINESTRING (257.82714 -16.43396, 256.00319 -15.44326)",polyline,6-32
"LINESTRING (257.82714 -16.43396, 259.16218 -15.15431)",polyline,6-33
"LINESTRING (257.82714 -16.43396, 257.89817 -17.97184)",polyline,6-42
"LINESTRING (257.82714 -16.43396, 258.48201 -15.34771)",polyline,6-51
"LINESTRING (257.82714 -16.43396, 258.15882 -15.32823)",polyline,6-69
"LINESTRING (254.44785 -19.57293, 255.45867 -20.77737)",polyline,7-8
"LINESTRING (254.44785 -19.57293, 254.64528 -21.79712)",polyline,7-17
"LINESTRING (254.44785 -19.57293, 255.08585 -20.57207)",polyline,7-18
"LINESTRING (254.44785 -19.57293, 253.51529 -18.09921)",polyline,7-41
"LINESTRING (255.45867 -20.77737, 256.42855 -21.99538)",polyline,8-11
"LINESTRING (255.45867 -20.77737, 254.64528 -21.79712)",polyline,8-17
"LINESTRING (255.45867 -20.77737, 255.08585 -20.57207)",polyline,8-18
"LINESTRING (251.77166 -21.9408, 251.66242 -21.55852)",polyline,9-16
"LINESTRING (251.77166 -21.9408, 250.7852 -22.84287)",polyline,9-43
"LINESTRING (251.77166 -21.9408, 250.41268 -22.42163)",polyline,9-44
"LINESTRING (251.77166 -21.9408, 252.71918 -23.73163)",polyline,9-58
"LINESTRING (251.77166 -21.9408, 252.69871 -24.20837)",polyline,9-65
"LINESTRING (251.77166 -21.9408, 250.90997 -23.10038)",polyline,9-67
"LINESTRING (251.77166 -21.9408, 252.05386 -22.23613)",polyline,9-77
"LINESTRING (251.21535 -24.92759, 250.7852 -22.84287)",polyline,10-43
"LINESTRING (251.21535 -24.92759, 252.71918 -23.73163)",polyline,10-58
"LINESTRING (251.21535 -24.92759, 252.69871 -24.20837)",polyline,10-65
"LINESTRING (251.21535 -24.92759, 250.90997 -23.10038)",polyline,10-67
"LINESTRING (256.42855 -21.99538, 255.08933 -23.20515)",polyline,11-15
"LINESTRING (256.42855 -21.99538, 254.64528 -21.79712)",polyline,11-17
"LINESTRING (256.42855 -21.99538, 255.08585 -20.57207)",polyline,11-18
"LINESTRING (256.83092 -24.79305, 255.08933 -23.20515)",polyline,12-15
"LINESTRING (256.83092 -24.79305, 256.43851 -26.95714)",polyline,12-45
"LINESTRING (256.83092 -24.79305, 258.75462 -23.18741)",polyline,12-46
"LINESTRING (256.83092 -24.79305, 256.69898 -24.48302)",polyline,12-52
"LINESTRING (256.83092 -24.79305, 256.00179 -25.3317)",polyline,12-74
"LINESTRING (257.20709 -29.12262, 256.43851 -26.95714)",polyline,13-45
"LINESTRING (257.20709 -29.12262, 257.00051 -27.978)",polyline,13-72
"LINESTRING (257.20709 -29.12262, 259.09523 -28.74351)",polyline,13-80
"LINESTRING (252.0016 -28.99438, 251.14358 -27.78722)",polyline,14-78
"LINESTRING (255.08933 -23.20515, 254.64528 -21.79712)",polyline,15-17
"LINESTRING (255.08933 -23.20515, 256.69898 -24.48302)",polyline,15-52
"LINESTRING (255.08933 -23.20515, 252.71918 -23.73163)",polyline,15-58
"LINESTRING (255.08933 -23.20515, 252.69871 -24.20837)",polyline,15-65
"LINESTRING (255.08933 -23.20515, 256.00179 -25.3317)",polyline,15-74
"LINESTRING (251.66242 -21.55852, 250.7852 -22.84287)",polyline,16-43
"LINESTRING (251.66242 -21.55852, 250.41268 -22.42163)",polyline,16-44
"LINESTRING (251.66242 -21.55852, 252.71918 -23.73163)",polyline,16-58
"LINESTRING (251.66242 -21.55852, 250.90997 -23.10038)",polyline,16-67
"LINESTRING (251.66242 -21.55852, 252.05386 -22.23613)",polyline,16-77
"LINESTRING (254.64528 -21.79712, 255.08585 -20.57207)",polyline,17-18
"LINESTRING (261.18945 -23.37112, 263.06015 -23.44307)",polyline,19-20
"LINESTRING (261.18945 -23.37112, 260.70004 -24.10804)",polyline,19-21
"LINESTRING (261.18945 -23.37112, 260.53645 -21.28045)",polyline,19-22
"LINESTRING (261.18945 -23.37112, 258.75462 -23.18741)",polyline,19-46
"LINESTRING (263.06015 -23.44307, 260.70004 -24.10804)",polyline,20-21
"LINESTRING (263.06015 -23.44307, 265.08862 -24.61705)",polyline,20-24
"LINESTRING (260.70004 -24.10804, 258.75462 -23.18741)",polyline,21-46
"LINESTRING (260.70004 -24.10804, 259.77055 -26.10726)",polyline,21-55
"LINESTRING (260.70004 -24.10804, 259.33229 -25.99402)",polyline,21-64
"LINESTRING (260.70004 -24.10804, 259.44528 -25.36575)",polyline,21-70
"LINESTRING (262.88469 -27.64968, 264.95485 -28.88822)",polyline,23-47
"LINESTRING (262.88469 -27.64968, 261.95097 -27.11481)",polyline,23-59
"LINESTRING (262.88469 -27.64968, 261.39773 -27.55729)",polyline,23-60
"LINESTRING (265.08862 -24.61705, 267.19123 -24.85962)",polyline,24-35
"LINESTRING (268.89011 -25.12972, 268.60578 -24.97108)",polyline,25-26
"LINESTRING (268.89011 -25.12972, 267.19123 -24.85962)",polyline,25-35
"LINESTRING (268.89011 -25.12972, 269.22751 -25.30096)",polyline,25-49
"LINESTRING (268.89011 -25.12972, 269.50033 -25.8036)",polyline,25-53
"LINESTRING (268.60578 -24.97108, 267.19123 -24.85962)",polyline,26-35
"LINESTRING (268.60578 -24.97108, 267.53704 -22.82813)",polyline,26-48
"LINESTRING (268.60578 -24.97108, 269.22751 -25.30096)",polyline,26-49
"LINESTRING (268.60578 -24.97108, 269.50033 -25.8036)",polyline,26-53
"LINESTRING (265.92902 -15.80512, 266.92941 -17.20686)",polyline,28-30
"LINESTRING (266.92941 -17.20686, 269.02486 -17.81576)",polyline,30-76
"LINESTRING (253.0873 -10.13813, 252.9 -11.82737)",polyline,31-36
"LINESTRING (253.0873 -10.13813, 252.96521 -12.41276)",polyline,31-73
